Date,x
2017-04-03,244.0
2017-04-04,10550.0
2017-04-05,2099.0
2017-04-06,269.0
2017-04-07,2690.0
2017-04-17,50.0
2017-04-18,13.0
2017-04-19,2675.0
2017-04-20,730.0
2017-04-22,4070.0
2017-04-24,12642.0
2017-04-25,64979.0
2017-04-26,434.0
2017-04-27,18272.0
2017-04-30,1.0
2017-05-12,23275.0
2017-05-15,300.0
2017-05-16,25250.5
2017-05-17,821.0
2017-05-18,238.0
2017-05-19,210.0
2017-05-22,1698.0
2017-05-23,19796.0
2017-05-24,21914.0
2017-05-25,73.25
2017-05-26,12.0
2017-05-27,25.0
2017-05-29,15291.0
2017-05-30,135.0
2017-05-31,442.0
2017-06-01,42946.0
2017-06-02,5496.0
2017-06-05,4213.0
2017-06-06,5657.0
2017-06-07,1881.0
2017-06-09,2252.0
2017-06-12,2229.5
2017-06-13,10833.0
2017-06-14,140.0
2017-06-15,230.0
2017-06-16,652.25
2017-06-19,75221.0
2017-06-20,563.0
2017-06-21,402.0
2017-06-22,5.0
2017-06-23,146.0
2017-06-24,22.0
2017-06-26,6655.0
2017-06-27,1071.5
2017-06-28,235.0
2017-06-29,10444.0
2017-06-30,166.0
2017-07-03,371.0
2017-07-04,595.0
2017-07-05,2581.0
2017-07-06,3751.0
2017-07-07,110.0
2017-07-10,1178.0
2017-07-11,5738.0
2017-07-12,3548.0
2017-07-13,106.0
2017-07-14,88.0
2017-07-17,552.0
2017-07-18,10894.0
2017-07-19,37126.0
2017-07-20,3189.0
2017-07-21,309.0
2017-07-22,188.0
2017-07-24,3327.0
2017-07-25,13787.0
2017-07-26,2212.0
2017-07-27,514.75
2017-07-28,389.0
2017-07-29,41.0
2017-07-31,1008.5
2017-08-01,2887.0
2017-08-02,5360.0
2017-08-03,2533.0
2017-08-04,75.0
2017-08-08,20667.0
2017-08-09,3122.0
2017-08-10,5761.0
2017-08-11,3.0
2017-08-12,32.0
2017-08-14,42716.0
2017-08-15,95825.0
2017-08-16,9709.0
2017-08-17,18.0
2017-08-21,1196.0
2017-08-22,126160.0
2017-08-23,66211.0
2017-08-24,313.0
2017-08-25,74.0
2017-08-28,35.0
2017-08-29,2645.0
2017-08-30,180.0
2017-08-31,323.0
2017-09-01,502.0
2017-09-04,22155.0
2017-09-06,428.0
2017-09-07,260.0
2017-09-08,3036.0
2017-09-09,8.0
2017-09-11,827.0
2017-09-12,529.0
2017-09-13,1365.25
2017-09-14,71.0
2017-09-18,1071.0
2017-09-19,283.0
2017-09-20,3152.25
2017-09-21,18.0
2017-09-22,74.5
2017-09-23,287.0
2017-09-25,16300.0
2017-09-26,568.0
2017-09-27,1176.0
2017-09-28,57.0
2017-09-29,101.0
2017-09-30,50890.0
2017-10-02,1130.5
2017-10-03,6.0
2017-10-04,446.0
2017-10-06,418.75
2017-10-09,10557.0
2017-10-10,2515.0
2017-10-11,401.0
2017-10-12,38.0
2017-10-13,7.5
2017-10-14,148.0
2017-10-16,350.0
2017-10-17,10674.25
2017-10-18,15314.0
2017-10-19,296.75
2017-10-20,33.0
2017-10-23,5552.0
2017-10-24,520.0
2017-10-25,35303.0
2017-10-26,36.0
2017-10-27,37.0
2017-10-28,500.0
2017-10-30,49.0
2017-10-31,731.0
2017-11-01,11435.0
2017-11-02,49.0
2017-11-06,67.0
2017-11-07,325.0
2017-11-08,42118.5
2017-11-09,811.0
2017-11-10,29.0
2017-11-13,162.0
2017-11-14,1130.0
2017-11-15,5471.0
2017-11-16,61.0
2017-11-17,15.0
2017-11-20,1199.25
2017-11-21,5593.5
2017-11-22,10300.0
2017-11-23,10.0
2017-11-24,34.0
2017-11-27,1640.0
2017-11-28,20614.0
2017-11-29,30.0
2017-11-30,61.0
2017-12-04,8757.0
2017-12-05,528.0
2017-12-06,664.0
2017-12-07,8.0
2017-12-08,133.5
2017-12-09,2138.0
2017-12-11,100669.0
2017-12-12,2073.0
2017-12-13,259.0
2017-12-14,237.0
2017-12-15,38.0
2017-12-18,846.0
2017-12-19,29138.0
2017-12-20,84.0
2017-12-21,49.25
2017-12-22,215.5
2017-12-26,38817.5
2017-12-27,20542.0
2017-12-28,271.25
2017-12-29,40.0
2017-12-30,45.0
2018-01-02,672.0
2018-01-03,4268.0
2018-01-04,15.0
2018-01-05,25.5
2018-01-08,1891.5
2018-01-09,8127.0
2018-01-10,339.0
2018-01-11,5.0
2018-01-12,3390.0
2018-01-13,1866.0
2018-01-15,33942.0
2018-01-16,2013.0
2018-01-17,2038.0
2018-01-18,25.0
2018-01-19,26.0
2018-01-22,43173.0
2018-01-23,169.0
2018-01-24,263.25
2018-01-25,340.0
2018-01-26,215.0
2018-01-27,271.5
2018-01-29,1350.5
2018-01-30,71.0
2018-02-01,1195.0
2018-02-02,1376.0
2018-02-05,4696.0
2018-02-06,33539.0
2018-02-07,45405.0
2018-02-08,1571.5
2018-02-09,105.0
2018-02-12,1050.0
2018-02-13,1611.0
2018-02-14,59.0
2018-02-16,3278.0
2018-02-17,1125.0
2018-02-19,1056.5
2018-02-20,25731.0
2018-02-21,724.25
2018-02-22,205.0
2018-02-23,929.0
2018-02-24,22824.0
2018-02-26,6508.75
2018-02-27,2019.0
2018-02-28,144.25
2018-03-02,4.0
2018-03-05,105.0
2018-03-06,1496.0
2018-03-07,2935.5
2018-03-08,230.0
2018-03-09,377.0
2018-03-10,157.0
2018-03-12,17597.0
2018-03-13,7743.0
2018-03-14,540.0
2018-03-15,190.0
2018-03-16,527.0
2018-03-19,3720.0
2018-03-20,1645.0
2018-03-21,5677.0
2018-03-22,75.0
2018-03-23,169.0
2018-03-24,263.0
2018-03-26,77732.25
2018-03-27,1475.0
2018-03-28,377.0
2018-03-29,8613.25
2018-03-30,3986.25
